営業日,営業,並盛個数,レディース個数,大盛個数,来客数計,売上計,リピート計,11~12,12~13,13~14,14~15,17~18,18~19,19~20,20~21,21~,チケ利用,同伴,Makuake,天気,客単価,曜日,月,週,年
 3月 12 (日),一日,,,,98,94850,44,18,13,16,8,11,8,7,9,8,,,,1. 晴れ,968, 7.日曜日,3,11,2017
 3月 13 (月),一日,,,,70,68150,55,5,16,12,5,3,4,4,7,14,0,0,0,2. 曇り,974, 1.月曜日,3,11,2017
 3月 14 (火),一日,,,,84,82750,62,19,16,9,8,3,10,7,7,5,0,0,0,3. 曇り雨,985, 2.火曜日,3,11,2017
 3月 15 (水),一日,,,,82,80650,68,14,14,11,3,0,9,9,11,11,0,0,0,3. 曇り雨,984, 3.水曜日,3,11,2017
 3月 16 (木),一日,,,,62,59350,49,7,14,11,2,3,10,8,3,4,0,0,0,1. 晴れ,957, 4.木曜日,3,11,2017
 3月 17 (金),一日,,,,93,93250,61,14,21,9,5,3,9,17,8,7,0,0,0,1. 晴れ,1003, 5.金曜日,3,11,2017
 3月 18 (土),休み,,,,,,,,,,,,,,,,,,,,,,,,2017
 3月 19 (日),一日,,,,98,96950,58,14,23,14,6,10,8,6,6,11,0,0,0,1. 晴れ,989, 7.日曜日,3,12,2017
 3月 20 (月),一日,,,,85,84700,42,12,12,16,7,6,3,15,9,5,0,0,0,1. 晴れ,996, 1.月曜日,3,12,2017
 3月 21 (火),一日,,,,73,71500,46,21,15,2,7,3,4,10,8,3,0,0,0,4. 雨,979, 2.火曜日,3,12,2017
 3月 22 (水),一日,,,,76,73900,51,10,13,9,10,1,2,10,16,5,0,0,0,1. 晴れ,972, 3.水曜日,3,12,2017
 3月 23 (木),一日,,,,75,73550,47,10,16,6,12,4,1,11,7,8,0,0,0,1. 晴れ,981, 4.木曜日,3,12,2017
 3月 24 (金),一日,,,,90,88250,58,10,23,12,11,4,7,10,9,4,0,0,0,1. 晴れ,981, 5.金曜日,3,12,2017
